,left_out_strain,hidden_dim,basal_dim,weight_decay_ae,weight_decay_p,weight_decay_c,lr_ae,lr_p,lr_c,lam,batch_size,num_epochs,r2_x,r2_p,acc_c,r2_dp,acc_dc
lso_0012,pJ2007_PhlF,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,-15.242498144265891,0.9089586987580988,1.0,-19.45220506028475,0.07547169811320754
lso_0012,IcaR_Gate,128,12,2.331571902558327e-08,6.74783524906081e-07,0.0,1.645761494905708,1.1397304402455901,1.0,0.0015031009320768112,64,1000,0.39740304698144663,0.5226166785139851,1.0,-2.6139197814303676,0.9818181818181818
lso_0013,pBADmin,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7759575001712178,0.6124482938852388,1.0,-0.6407556479266178,0.9716981132075472
lso_0013,pJ2007_IcaR,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7442377077630843,0.6337985553292704,1.0,-96.53888119756222,0.1834862385321101
lso_0013,landing_pads,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.796635685100338,0.9651470791053663,1.0,-0.4065319093460309,0.6407766990291263
lso_0013,PhlF_Gate,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7499838090351598,0.6526164814102767,1.0,-3.2442665514825415,0.7685185185185185
lso_0013,pTACmin,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7250792896881925,0.5774494326533185,1.0,-1.4251753613537692,0.5576923076923077
lso_0013,wild-type,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7834352085371105,0.9960364300449033,1.0,0.0823936168585112,0.04807692307692308
lso_0013,NAND_Circuit,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.712099480455496,0.2503103773189961,1.0,-2.212675998656312,0.8785046728971962
lso_0013,pJ2007_PhlF,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.8368952411550872,0.7620603083682999,1.0,-20.235212516055558,0.2358490566037736
lso_0013,IcaR_Gate,512,8,5.58175871489461e-07,3.5946597780398747e-07,0.0,1.932089197306044,1.2365331961827586,1.0,0.0013087517899183256,128,1000,0.7402250168995912,0.3041271458292769,1.0,-3.3699706722838116,0.5
lso_0014,pBADmin,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,-56.73300618747426,0.5949138653377245,1.0,-1.0042041233357037,0.9622641509433962
lso_0014,pJ2007_IcaR,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.6106229596793079,-0.38853825620247723,1.0,-91.31059875108825,0.26605504587155965
lso_0014,landing_pads,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.5957707593731743,0.49584767692732745,1.0,-0.4464044464979388,0.941747572815534
lso_0014,PhlF_Gate,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.6510976263828449,0.2131286183599196,1.0,-2.519600630873379,0.7037037037037037
lso_0014,pTACmin,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.5493734679375583,0.6175254098106362,1.0,-2.31583250024016,0.7692307692307693
lso_0014,wild-type,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.6254453229041255,0.998327931736798,1.0,0.10138750921788915,0.49038461538461536
lso_0014,NAND_Circuit,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.5249023118331301,0.6596926444888712,1.0,-2.3544872339323253,0.9719626168224299
lso_0014,pJ2007_PhlF,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.773999856031511,0.8914870071864689,1.0,-16.96866370507057,0.2358490566037736
lso_0014,IcaR_Gate,256,10,3.0856920788472083e-07,7.270292156521422e-07,0.0,1.7010161413820228,1.4959982284139695,1.0,0.0011338206810632123,128,1000,0.595967810094003,0.5371908019681099,1.0,-3.428909557566431,0.9727272727272728
lso_0015,pBADmin,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.6954126081261469,0.5794071030000963,1.0,-0.770082093276845,0.9150943396226415
lso_0015,pJ2007_IcaR,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,0.6504866448393498,0.18145272615190186,1.0,-97.44068806152647,0.14678899082568808
lso_0015,landing_pads,256,7,9.457530331973818e-07,4.770494316674992e-07,0.0,1.6781618038851487,1.1486722927491462,1.0,0.001742698307115448,128,1000,-16.888823681801583,0.7011887947296863,1.0,-0.4189510399179048,0.7184466019417476
